Publication,Category,Format,Date,Category 2,Description,Category 3,URL
City Planning Commission Report (C 030223 ZMQ),City Planning,35th Avenue Rezoning  - C 030223 ZMQ  ,09-Jun-10,Housing and Buildings,City Planning Commission Report (C 030223 ZMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/030223.pdf
City Planning Commission Report (C 050522 ZMQ),City Planning,94th Street – Corona Avenue Rezoning  - C 050522 ZMQ  ,09-Jun-10,Housing and Buildings,City Planning Commission Report (C 050522 ZMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/050522.pdf
City Planning Commission Report (C 100259 HUX),City Planning,Bathgate Urban Renewal Plan Amendment  - C 100259 HUX  ,09-Jun-10,Housing and Buildings,City Planning Commission Report (C 100259 HUX),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100259.pdf
City Planning Commission Report (C 100180 PCM),City Planning,High Line  - C 100180 PCM  ,09-Jun-10,Housing and Buildings,City Planning Commission Report (C 100180 PCM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100180.pdf
City Planning Commission Report (C 100204 PPK),City Planning,Industry City Parking  - C 100204 PPK  ,09-Jun-10,Housing and Buildings,City Planning Commission Report (C 100204 PPK),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100204.pdf
City Planning Commission Report (N 100318 HKM),City Planning,Springs Mills Building Landmark  - N 100318 HKM  ,09-Jun-10,Housing and Buildings,City Planning Commission Report (N 100318 HKM),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100318.pdf
City Planning Commission Report (C 100231 PCR),City Planning,Whitney Woods South Beach Bluebelt  - C 100231 PCR  ,09-Jun-10,Housing and Buildings,City Planning Commission Report (C 100231 PCR),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100231.pdf
2010 Tax Expenditures Report ,Finance,2010 Tax Expenditures Report ,21-Jun-10,Finance and Budget,2010 Tax Expenditures Report ,Annual Report,http://www.nyc.gov/html/dof/html/pdf/10pdf/ter_2010_final.pdf
"Audit Report on the Compliance of Sunny Days in the Park, Inc., Withits License Agreement and Payment of Fees Due",Comptroller,"Audit Report on the Compliance of Sunny Days in the Park, Inc., Withits License Agreement and Payment of Fees Due",23-Jun-10,Finance and Budget,"Audit Report on the Compliance of Sunny Days in the Park, Inc., Withits License Agreement and Payment of Fees Due",Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FR10_081A.pdf
Audit Report On The Department Of Youth And Community Development Out-Of-School Youth Program,Comptroller,Audit Report On The Department Of Youth And Community Development Out-Of-School Youth Program,23-Jun-10,Finance and Budget,Audit Report On The Department Of Youth And Community Development Out-Of-School Youth Program,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/ME10_076A.pdf
Audit Report On the Oversight of Private Ferry Operators By The Department Of Transportation,Comptroller,Audit Report On the Oversight of Private Ferry Operators By The Department Of Transportation,24-Jun-10,Finance and Budget,Audit Report On the Oversight of Private Ferry Operators By The Department Of Transportation,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/MG10_061A.pdf
Audit Report on the Internal Controls of the Landmarks Preservation Commission over Permits,Comptroller,Audit Report on the Internal Controls of the Landmarks Preservation Commission over Permits,17-Jun-10,Finance and Budget,Audit Report on the Internal Controls of the Landmarks Preservation Commission over Permits,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/MG10_073A.pdf
Audit Report on the Financial Practices of the Office of the Actuary,Comptroller,"Audit Report on the Financial Practices of the Office of the Actuary
",17-Jun-10,Finance and Budget,Audit Report on the Financial Practices of the Office of the Actuary,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/MG10_074A.pdf
City Planning Commission Report (C 100206 PPQ),City Planning,Flushing Commons - (C 100206 PPQ),23-Jun-10,Housing and Buildings,City Planning Commission Report (C 100206 PPQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100206.pdf
City Planning Commission Report (C 100207 ZMQ),City Planning,Flushing Commons - (C 100207 ZMQ),23-Jun-10,Housing and Buildings,City Planning Commission Report (C 100207 ZMQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100207.pdf
City Planning Commission Report (C 100208 ZSQ),City Planning,Flushing Commons* - (C 100208 ZSQ),23-Jun-10,Housing and Buildings,City Planning Commission Report (C 100208 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100208.pdf
Part 1,Transportation,This annual report describes the work of the Department of Transportation's Division of Bridges in maintaining more than 750 City bridges. ,28-Jun-10,Transportation,Bridges and Tunnels Annual Condition Report 2010,Annual Report,http://www.nyc.gov/html/dot/downloads/pdf/2009_bridgereport_part1.pdf
Part 2,Transportation,This annual report describes the work of the Department of Transportation's Division of Bridges in maintaining more than 750 City bridges. ,28-Jun-10,Transportation,Bridges and Tunnels Annual Condition Report 2010,Annual Report,http://www.nyc.gov/html/dot/downloads/pdf/2009_bridgereport_part2.pdf
Part 3,Transportation,This annual report describes the work of the Department of Transportation's Division of Bridges in maintaining more than 750 City bridges. ,28-Jun-10,Transportation,Bridges and Tunnels Annual Condition Report 2010,Annual Report,http://www.nyc.gov/html/dot/downloads/pdf/2009_bridgereport_part3.pdf
Part 4,Transportation,This annual report describes the work of the Department of Transportation's Division of Bridges in maintaining more than 750 City bridges. ,28-Jun-10,Transportation,Bridges and Tunnels Annual Condition Report 2010,Annual Report,http://www.nyc.gov/html/dot/downloads/pdf/2009_bridgereport_part4.pdf
City Planning Commission Report (C 100209 ZSQ),City Planning,Flushing Commons - (C 100209 ZSQ),23-Jun-10,Housing and Buildings,City Planning Commission Report (C 100209 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100209.pdf
City Planning Commission Report (N 100210 ZRQ ),City Planning,Flushing Commons - (N 100210 ZRQ ),23-Jun-10,Housing and Buildings,City Planning Commission Report (N 100210 ZRQ ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100210.pdf
City Planning Commission Report (N 100211 ZRQ ),City Planning,Flushing Commons - (N 100211 ZRQ ),23-Jun-10,Housing and Buildings,City Planning Commission Report (N 100211 ZRQ ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100211.pdf
City Planning Commission Report (C 100212 ZSQ),City Planning,Flushing Commons - (C 100212 ZSQ),23-Jun-10,Housing and Buildings,City Planning Commission Report (C 100212 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100212.pdf
City Planning Commission Report (C 100213 ZSQ),City Planning,Flushing Commons - (C 100213 ZSQ),23-Jun-10,Housing and Buildings,City Planning Commission Report (C 100213 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100213.pdf
City Planning Commission Report (C 100214 ZSQ),City Planning,Flushing Commons - (C 100214 ZSQ),23-Jun-10,Housing and Buildings,City Planning Commission Report (C 100214 ZSQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100214.pdf
City Planning Commission Report (C 100216 HAQ),City Planning,Macedonia Plaza - (C 100216 HAQ),23-Jun-10,Housing and Buildings,City Planning Commission Report (C 100216 HAQ),Legislative Document,http://www.nyc.gov/html/dcp/pdf/cpc/100216.pdf
Greenwich Village Historic District Extension II,Landmarks,"Landmarks Preservation Commission's Designation Report for the Greenwich Village Historic District Extension II, Borough of Manhattan",22-Jun-10,Housing and Buildings,Greenwich Village Historic District Extension II,Staff Report,http://www.nyc.gov/html/lpc/downloads/pdf/reports/GVHDExtII_Report.pdf
"Audit Report On Pensioners Of The New York City Employees’ Retirement System Working For The City After Retirement January 1, 2008–December 31, 2008",Comptroller,"Audit Report On Pensioners Of The New York City Employees’ Retirement System Working For The City After Retirement January 1, 2008–December 31, 2008",30-Jun-10,Finance and Budget,"Audit Report On Pensioners Of The New York City Employees’ Retirement System Working For The City After Retirement January 1, 2008–December 31, 2008",Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FL10_117A.pdf
"Audit Report On Pensioners Of The New York City Police Department Working For The City After Retirement January 1, 2008—December 31, 2008 ",Comptroller,"Audit Report On Pensioners Of The New York City Police Department Working For The City After Retirement January 1, 2008—December 31, 2008 ",30-Jun-10,Finance and Budget,"Audit Report On Pensioners Of The New York City Police Department Working For The City After Retirement January 1, 2008—December 31, 2008 ",Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FL10_118A.pdf
"Audit Report On New York City Pensioners Working For New York State After Retirement January 1, 2008—December 31, 2008",Comptroller,"Audit Report On New York City Pensioners Working For New York State After Retirement January 1, 2008—December 31, 2008",30-Jun-10,Finance and Budget,"Audit Report On New York City Pensioners Working For New York State After Retirement January 1, 2008—December 31, 2008",Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FL10_119A.pdf
"Audit Report On Non-Pedagogical Pensioners Of The New York City Department Of Education Working For The City After Retirement January 1, 2008–December",Comptroller,"Audit Report On Non-Pedagogical Pensioners Of The New York City Department Of Education Working For The City After Retirement January 1, 2008–December 31, 2008",30-Jun-10,Finance and Budget,"Audit Report On Non-Pedagogical Pensioners Of The New York City Department Of Education Working For The City After Retirement January 1, 2008–December",Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FL10_115A.pdf
"Audit Report On New York City Pensioners Working As Consultants For The City After Retirement January 1, 2008–December 31, 2008",Comptroller,"Audit Report On New York City Pensioners Working As Consultants For The City After Retirement January 1, 2008–December 31, 2008",30-Jun-10,Finance and Budget,"Audit Report On New York City Pensioners Working As Consultants For The City After Retirement January 1, 2008–December 31, 2008",Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FL10_120A.pdf
Audit Report on Department For The Aging Controls Over Personally Identifiable Information,Comptroller,Audit Report on Department For The Aging Controls Over Personally Identifiable Information,30-Jun-10,Finance and Budget,Audit Report on Department For The Aging Controls Over Personally Identifiable Information,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/7A10_092.pdf
Audit Report on the Harlem Hospital Affiliation Agreement with the Columbia University Medical Center ,Comptroller,Audit Report on the Harlem Hospital Affiliation Agreement with the Columbia University Medical Center ,30-Jun-10,Finance and Budget,Audit Report on the Harlem Hospital Affiliation Agreement with the Columbia University Medical Center ,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/ME10-067A.pdf
Audit Report on the Oversight of the St. John’s Group Home Contract by the Department of Juvenile Justice,Comptroller,Audit Report on the Oversight of the St. John’s Group Home Contract by the Department of Juvenile Justice,30-Jun-10,Finance and Budget,Audit Report on the Oversight of the St. John’s Group Home Contract by the Department of Juvenile Justice,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/MD10_062A.pdf
Audit Report on the Provision of Vision Screening Services to Elementary School Students in New York City Charter Schools,Comptroller,Audit Report on the Provision of Vision Screening Services to Elementary School Students in New York City Charter Schools,30-Jun-10,Finance and Budget,Audit Report on the Provision of Vision Screening Services to Elementary School Students in New York City Charter Schools,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/ME10_077A.pdf
Audit Report On The Monitoring By The Department Of Health And Mental Hygiene Of The Background Checks Of School-Age Child Care Program Employees ,Comptroller,Audit Report On The Monitoring By The Department Of Health And Mental Hygiene Of The Background Checks Of School-Age Child Care Program Employees ,30-Jun-10,Finance and Budget,Audit Report On The Monitoring By The Department Of Health And Mental Hygiene Of The Background Checks Of School-Age Child Care Program Employees ,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/MH10_070A.pdf
Audit On The Financial And Operating Practices Of The Three Staten Island Community Boards,Comptroller,Audit On The Financial And Operating Practices Of The Three Staten Island Community Boards,25-Jun-10,Finance and Budget,Audit On The Financial And Operating Practices Of The Three Staten Island Community Boards,Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FP10_106A.pdf
"Audit Report On Pensioners Of The New York City Fire Department Working For The City After Retirement January 1, 2008–December 31, 2008",Comptroller,"Audit Report On Pensioners Of The New York City Fire Department Working For The City After Retirement January 1, 2008–December 31, 2008
FL10-114A
",30-Jun-10,Finance and Budget,"Audit Report On Pensioners Of The New York City Fire Department Working For The City After Retirement January 1, 2008–December 31, 2008",Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FL10_114A.pdf
"Audit Report On Pedagogical Pensioners Of The New York City Teachers’ Retirement System Working For The City After Retirement January1–December 31, 08",Comptroller,"Audit Report On Pedagogical Pensioners Of The New York City Teachers’ Retirement System Working For The City After Retirement January 1, 2008–December 31, 2008
FL10-116A
",30-Jun-10,Finance and Budget,"Audit Report On Pedagogical Pensioners Of The New York City Teachers’ Retirement System Working For The City After Retirement January1–December 31, 08",Audit Report,http://www.comptroller.nyc.gov/bureaus/audit/PDF_FILES_2010/FL10_116A.pdf
