Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
Black,14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,66,3,4.5%,66,3,4.5%
Black,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,64,6,9.4%,64,6,9.4%
Black,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,64,7,10.9%,64,7,10.9%
Black,14K561,WILLIAMSBURG PREPARATORY SCHOOL,31,3,9.699999999999999%,31,4,12.9%
Black,14K586,LYONS COMMUNITY SCHOOL,2,s,s,2,s,s
Black,14K610,AUTOMOTIVE HIGH SCHOOL,142,1,0.7%,142,1,0.7%
Black,15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,1,s,s,1,s,s
Black,15K462,SECONDARY SCHOOL FOR LAW,61,5,8.199999999999999%,61,5,8.199999999999999%
Black,15K463,SECONDARY SCHOOL FOR JOURNALISM,55,6,10.9%,55,7,12.7%
Black,15K464,PARK SLOPE COLLEGIATE,42,2,4.8%,42,2,4.8%
Black,15K497,SCHOOL FOR INTERNATIONAL STUDIES,21,6,28.6%,21,6,28.6%
Black,15K498,ACORN HS FOR SOCIAL JUSTICE,67,2,3%,67,2,3%
Black,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,107,2,1.9%,107,2,1.9%
Black,15K520,PACIFIC HIGH SCHOOL,56,1,1.8%,56,1,1.8%
Black,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,15,s,s,15,s,s
Black,15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,67,0,0%,67,0,0%
Black,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,80,12,15%,80,13,16.3%
Black,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,14,s,s,14,s,s
Black,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,62,5,8.1%,62,5,8.1%
Black,16K455,BOYS AND GIRLS HIGH SCHOOL,474,10,2.1%,474,10,2.1%
Black,17K382,ACADEMY FOR COLLEGE PREPARATION AND C,65,14,21.5%,65,14,21.5%
Black,17K408,ACADEMY OF  HOSPITALITY AND TOURISM,70,8,11.4%,70,8,11.4%
Black,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,73,1,1.4%,73,1,1.4%
Black,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,25,2,8%,25,2,8%
Black,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,92,9,9.800000000000001%,92,9,9.800000000000001%
Black,17K531,SCHOOL FOR HUMAN RIGHTS  THE,56,5,8.9%,56,5,8.9%
Black,17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,62,0,0%,62,7,11.3%
Black,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,90,7,7.8%,90,7,7.8%
Black,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,102,8,7.8%,102,8,7.8%
Black,17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,69,18,26.1%,69,18,26.1%
Black,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,97,5,5.2%,97,5,5.2%
Black,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,79,18,22.8%,79,18,22.8%
Black,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,90,18,20%,90,18,20%
Black,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,75,4,5.3%,75,4,5.3%
Black,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,65,2,3.1%,65,2,3.1%
Black,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,144,50,34.700000000000003%,144,50,34.700000000000003%
Black,17K600,CLARA BARTON HIGH SCHOOL,437,95,21.7%,437,100,22.9%
Black,17K625,PAUL ROBESON HIGH SCHOOL,255,12,4.7%,255,12,4.7%
Black,18K415,SAMUEL J. TILDEN HIGH SCHOOL,168,2,1.2%,168,2,1.2%
Black,18K500,CANARSIE HIGH SCHOOL,356,7,2%,356,7,2%
Black,18K515,SOUTH SHORE HIGH SCHOOL,111,5,4.5%,111,5,4.5%
Black,18K563,IT TAKES A VILLAGE ACADEMY,3,s,s,3,s,s
Black,18K566,BROOKLYN GENERATION SCHOOL,3,s,s,3,s,s
Black,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,3,s,s,3,s,s
Black,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,5,s,s,5,s,s
Black,18K576,VICTORY COLLEGIATE HIGH SCHOOL,3,s,s,3,s,s
Black,18K578,BROOKLYN BRIDGE ACADEMY,73,0,0%,73,0,0%
Black,18K589,ARTS & MEDIA PREPARATORY ACADEMY,4,s,s,4,s,s
Black,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,2,s,s,2,s,s
Black,18K635,OLYMPUS ACADEMY,83,0,0%,83,0,0%
Black,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,61,0,0%,61,1,1.6%
Black,19K409,EAST NEW YORK FAMILY ACADEMY,54,3,5.6%,54,3,5.6%
Black,19K420,FRANKLIN K. LANE HIGH SCHOOL,107,3,2.8%,107,3,2.8%
Black,19K435,THOMAS JEFFERSON HIGH SCHOOL,.,.,.,.,.,.
Black,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,74,3,4.1%,74,3,4.1%
Black,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,88,2,2.3%,88,2,2.3%
Black,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,88,2,2.3%,88,2,2.3%
Black,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,80,1,1.3%,80,4,5%
Black,19K583,MULTICULTURAL HIGH SCHOOL,.,.,.,.,.,.
Black,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,241,17,7.1%,241,18,7.5%
Black,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,.,.,.,.,.,.
Black,19K639,BROOKLYN LAB SCHOOL,1,s,s,1,s,s
Black,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,17,s,s,17,s,s
Black,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,158,4,2.5%,158,4,2.5%
Black,20K445,NEW UTRECHT HIGH SCHOOL,48,3,6.3%,48,3,6.3%
Black,20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,35,5,14.3%,35,6,17.100000000000001%
Black,20K490,FORT HAMILTON HIGH SCHOOL,39,6,15.4%,39,6,15.4%
Black,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,92,16,17.399999999999999%,92,16,17.399999999999999%
Black,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,27,2,7.4%,27,2,7.4%
Black,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,39,4,10.3%,39,4,10.3%
Black,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,41,4,9.800000000000001%,41,4,9.800000000000001%
Black,21K400,LAFAYETTE HIGH SCHOOL,23,1,4.3%,23,1,4.3%
Black,21K410,ABRAHAM LINCOLN HIGH SCHOOL,231,19,8.199999999999999%,231,20,8.699999999999999%
Black,21K525,EDWARD R. MURROW HIGH SCHOOL,253,74,29.2%,253,75,29.6%
Black,21K540,JOHN DEWEY HIGH SCHOOL,190,25,13.2%,190,26,13.7%
Black,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,.,.,.,.,.,.
Black,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,1,s,s,1,s,s
Black,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,206,6,2.9%,206,8,3.9%
Black,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,20,s,s,20,s,s
Black,21K728,LIBERATION DIPLOMA PLUS,26,0,0%,26,0,0%
Black,22K405,MIDWOOD HIGH SCHOOL,280,104,37.1%,280,109,38.9%
Black,22K425,JAMES MADISON HIGH SCHOOL,340,77,22.6%,340,78,22.9%
Black,22K495,SHEEPSHEAD BAY HIGH SCHOOL,343,10,2.9%,343,10,2.9%
Black,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,22,18,81.8%,22,18,81.8%
Black,22K555,BROOKLYN COLLEGE ACADEMY,101,35,34.700000000000003%,101,35,34.700000000000003%
Black,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,60,5,8.300000000000001%,60,5,8.300000000000001%
Black,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,84,7,8.300000000000001%,84,7,8.300000000000001%
Black,23K643,BROOKLYN DEMOCRACY ACADEMY,85,1,1.2%,85,1,1.2%
Black,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,53,3,5.7%,53,3,5.7%
Black,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,94,0,0%,94,0,0%
Black,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,83,2,2.4%,83,2,2.4%
Black,23K697,TEACHERS PREPARATORY HIGH SCHOOL,82,20,24.4%,82,20,24.4%
Black,24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,10,s,s,10,s,s
Black,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,14,s,s,14,s,s
Black,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,.,.,.,.,.,.
Black,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,11,s,s,11,s,s
Black,24Q455,NEWTOWN HIGH SCHOOL,55,4,7.3%,55,4,7.3%
Black,24Q485,GROVER CLEVELAND HIGH SCHOOL,25,5,20%,25,6,24%
Black,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,13,s,s,13,s,s
Black,24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,16,s,s,16,s,s
Black,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,23,1,4.3%,23,1,4.3%
Black,24Q610,AVIATION CAREER & TECHNICAL EDUCATION,33,9,27.3%,33,10,30.3%
Black,24Q744,VOYAGES PREPARATORY,22,0,0%,22,0,0%
Black,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,3,s,s,3,s,s
Black,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,14,s,s,14,s,s
Black,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,20,s,s,20,s,s
Black,25Q425,JOHN BOWNE HIGH SCHOOL,176,12,6.8%,176,12,6.8%
Black,25Q460,FLUSHING HIGH SCHOOL,117,3,2.6%,117,3,2.6%
Black,25Q525,TOWNSEND HARRIS HIGH SCHOOL,20,s,s,20,s,s
Black,25Q540,QUEENS ACADEMY HIGH SCHOOL,51,0,0%,51,0,0%
Black,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,21,2,9.5%,21,2,9.5%
Black,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,30,0,0%,30,0,0%
Black,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,193,51,26.4%,193,55,28.5%
Black,26Q430,FRANCIS LEWIS HIGH SCHOOL,148,35,23.6%,148,37,25%
Black,26Q435,MARTIN VAN BUREN HIGH SCHOOL,439,50,11.4%,439,50,11.4%
Black,26Q495,BAYSIDE HIGH SCHOOL,135,40,29.6%,135,42,31.1%
Black,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,124,14,11.3%,124,14,11.3%
Black,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,68,8,11.8%,68,8,11.8%
Black,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,38,11,28.9%,38,11,28.9%
Black,27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,2,s,s,2,s,s
Black,27Q400,AUGUST MARTIN HIGH SCHOOL,231,6,2.6%,231,6,2.6%
Black,27Q410,BEACH CHANNEL HIGH SCHOOL,206,3,1.5%,206,3,1.5%
Black,27Q465,FAR ROCKAWAY HIGH SCHOOL,81,1,1.2%,81,1,1.2%
Black,27Q475,RICHMOND HILL HIGH SCHOOL,118,6,5.1%,118,6,5.1%
Black,27Q480,JOHN ADAMS HIGH SCHOOL,203,12,5.9%,203,12,5.9%
Black,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,27,6,22.2%,27,6,22.2%
Black,28Q440,FOREST HILLS HIGH SCHOOL,85,16,18.8%,85,16,18.8%
Black,28Q470,JAMAICA HIGH SCHOOL,222,11,5%,222,11,5%
Black,28Q505,HILLCREST HIGH SCHOOL,377,28,7.4%,377,29,7.7%
Black,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,241,77,32%,241,78,32.4%
Black,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,64,33,51.6%,64,35,54.7%
Black,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,19,s,s,19,s,s
Black,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,99,13,13.1%,99,13,13.1%
Black,29Q248,QUEENS PREPARATORY ACADEMY,83,8,9.6%,83,8,9.6%
Black,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,58,2,3.4%,58,2,3.4%
Black,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,76,4,5.3%,76,4,5.3%
Black,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,80,23,28.8%,80,24,30%
Black,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,27,0,0%,27,0,0%
Black,29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,84,12,14.3%,84,12,14.3%
Black,29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,101,10,9.9%,101,10,9.9%
Black,29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,101,1,1%,101,1,1%
Black,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,85,7,8.199999999999999%,85,7,8.199999999999999%
Black,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,66,11,16.7%,66,11,16.7%
Black,30Q450,LONG ISLAND CITY HIGH SCHOOL,107,7,6.5%,107,8,7.5%
Black,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,33,10,30.3%,33,10,30.3%
Black,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,42,4,9.5%,42,4,9.5%
Black,30Q555,NEWCOMERS HIGH SCHOOL,9,s,s,9,s,s
Black,30Q575,ACADEMY OF AMERICAN STUDIES,14,s,s,14,s,s
Black,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,5,s,s,5,s,s
Black,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,10,s,s,10,s,s
Black,31R080,THE MICHAEL J. PETRIDES SCHOOL,15,s,s,15,s,s
Black,31R440,NEW DORP HIGH SCHOOL,59,2,3.4%,59,2,3.4%
Black,31R445,PORT RICHMOND HIGH SCHOOL,136,15,11%,136,15,11%
Black,31R450,CURTIS HIGH SCHOOL,261,38,14.6%,261,38,14.6%
Black,31R455,TOTTENVILLE HIGH SCHOOL,22,4,18.2%,22,4,18.2%
Black,31R460,SUSAN E. WAGNER HIGH SCHOOL,106,18,17%,106,18,17%
Black,31R470,CONCORD HIGH SCHOOL,15,s,s,15,s,s
Black,31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,72,4,5.6%,72,4,5.6%
Black,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,5,s,s,5,s,s
Black,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,18,s,s,18,s,s
Black,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,27,0,0%,27,0,0%
Black,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,32,2,6.3%,32,2,6.3%
Black,32K552,ACADEMY OF URBAN PLANNING,49,3,6.1%,49,3,6.1%
Black,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,7,s,s,7,s,s
Black,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,22,1,4.5%,22,1,4.5%
Black,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,58,0,0%,58,0,0%
Hispanic,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,42,1,2.4%,42,1,2.4%
Hispanic,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,64,5,7.8%,64,5,7.8%
Hispanic,01M509,MARTA VALLE HIGH SCHOOL,54,4,7.4%,54,4,7.4%
Hispanic,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,6,s,s,6,s,s
Hispanic,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,7,s,s,7,s,s
Hispanic,01M650,CASCADES HIGH SCHOOL,49,6,12.2%,49,6,12.2%
Hispanic,01M696,BARD HIGH SCHOOL EARLY COLLEGE,18,s,s,18,s,s
Hispanic,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,16,s,s,16,s,s
Hispanic,02M288,FOOD AND FINANCE HIGH SCHOOL,51,7,13.7%,51,7,13.7%
Hispanic,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,41,7,17.100000000000001%,41,7,17.100000000000001%
Hispanic,02M298,PACE HIGH SCHOOL,36,8,22.2%,36,8,22.2%
Hispanic,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,64,11,17.2%,64,11,17.2%
Hispanic,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,32,2,6.3%,32,2,6.3%
Hispanic,02M308,LOWER MANHATTAN ARTS ACADEMY,42,4,9.5%,42,4,9.5%
Hispanic,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,36,1,2.8%,36,1,2.8%
Hispanic,02M374,GRAMERCY ARTS HIGH SCHOOL,41,2,4.9%,41,2,4.9%
Hispanic,02M394,EMMA LAZARUS HIGH SCHOOL,3,s,s,3,s,s
Hispanic,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,169,44,26%,169,48,28.4%
Hispanic,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,12,s,s,12,s,s
Hispanic,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,12,s,s,12,s,s
Hispanic,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,16,s,s,16,s,s
Hispanic,02M414,N.Y.C. MUSEUM SCHOOL,47,9,19.100000000000001%,47,9,19.100000000000001%
Hispanic,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,11,s,s,11,s,s
Hispanic,02M418,MILLENNIUM HIGH SCHOOL,29,11,37.9%,29,12,41.4%
Hispanic,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,149,31,20.8%,149,31,20.8%
Hispanic,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,77,12,15.6%,77,12,15.6%
Hispanic,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,223,6,2.7%,223,6,2.7%
Hispanic,02M460,WASHINGTON IRVING HIGH SCHOOL,273,11,4%,273,11,4%
Hispanic,02M475,STUYVESANT HIGH SCHOOL,21,21,100%,21,21,100%
Hispanic,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,55,9,16.399999999999999%,55,9,16.399999999999999%
Hispanic,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,35,1,2.9%,35,1,2.9%
Hispanic,02M519,TALENT UNLIMITED HIGH SCHOOL,56,19,33.9%,56,19,33.9%
Hispanic,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,308,49,15.9%,308,49,15.9%
Hispanic,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,96,19,19.8%,96,20,20.8%
Hispanic,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,22,2,9.1%,22,2,9.1%
Hispanic,02M542,MANHATTAN BRIDGES HIGH SCHOOL,111,13,11.7%,111,13,11.7%
Hispanic,02M543,NEW DESIGN HIGH SCHOOL,63,5,7.9%,63,5,7.9%
Hispanic,02M544,INDEPENDENCE HIGH SCHOOL,83,1,1.2%,83,1,1.2%
Hispanic,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,1,s,s,1,s,s
Hispanic,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,29,1,3.4%,29,1,3.4%
Hispanic,02M551,THE HARBOR HS,45,4,8.9%,45,4,8.9%
Hispanic,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,46,0,0%,46,0,0%
Hispanic,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,70,15,21.4%,70,15,21.4%
Hispanic,02M586,HARVEY MILK HIGH SCHOOL,14,s,s,14,s,s
Hispanic,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,219,76,34.700000000000003%,219,79,36.1%
Hispanic,02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,94,4,4.3%,94,4,4.3%
Hispanic,02M620,NORMAN THOMAS HIGH SCHOOL,338,11,3.3%,338,11,3.3%
Hispanic,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,253,11,4.3%,253,11,4.3%
Hispanic,02M630,ART AND DESIGN HIGH SCHOOL,186,28,15.1%,186,28,15.1%
Hispanic,02M655,LIFE SCIENCES SECONDARY SCHOOL,73,8,11%,73,8,11%
Hispanic,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,25,2,8%,25,2,8%
Hispanic,03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,46,2,4.3%,46,2,4.3%
Hispanic,03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,54,2,3.7%,54,2,3.7%
Hispanic,03M404,INNOVATION DIPLOMA PLUS,26,0,0%,26,0,0%
Hispanic,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,44,2,4.5%,44,3,6.8%
Hispanic,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,386,14,3.6%,386,15,3.9%
Hispanic,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,113,73,64.599999999999994%,113,73,64.599999999999994%
Hispanic,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,53,3,5.7%,53,3,5.7%
Hispanic,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,10,13.3%,75,10,13.3%
Hispanic,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,126,2,1.6%,126,2,1.6%
Hispanic,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,33,22,66.7%,33,22,66.7%
Hispanic,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,10,s,s,10,s,s
Hispanic,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,53,3,5.7%,53,3,5.7%
Hispanic,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,222,115,51.8%,222,116,52.3%
Hispanic,04M495,PARK EAST HIGH SCHOOL,45,2,4.4%,45,2,4.4%
Hispanic,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,37,13,35.1%,37,13,35.1%
Hispanic,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,51,2,3.9%,51,2,3.9%
Hispanic,04M680,HERITAGE SCHOOL  THE,42,3,7.1%,42,3,7.1%
Hispanic,04M695,URBAN PEACE ACADEMY,22,2,9.1%,22,2,9.1%
Hispanic,05M285,HARLEM RENAISSANCE HIGH SCHOOL,28,0,0%,28,0,0%
Hispanic,05M304,MOTT HALL HIGH SCHOOL,63,13,20.6%,63,13,20.6%
Hispanic,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,21,4,19%,21,4,19%
Hispanic,05M469,CHOIR ACADEMY OF HARLEM,6,s,s,6,s,s
Hispanic,05M499,FREDERICK DOUGLASS ACADEMY,63,29,46%,63,29,46%
Hispanic,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,25,5,20%,25,5,20%
Hispanic,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,38,37,97.4%,38,38,100%
Hispanic,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,164,15,9.1%,164,16,9.800000000000001%
Hispanic,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,152,9,5.9%,152,9,5.9%
Hispanic,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,162,15,9.300000000000001%,162,15,9.300000000000001%
Hispanic,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,142,19,13.4%,142,19,13.4%
Hispanic,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,161,39,24.2%,161,39,24.2%
Hispanic,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,91,11,12.1%,91,11,12.1%
Hispanic,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,53,7,13.2%,53,7,13.2%
Hispanic,07X321,CROTONA ACADEMY HIGH SCHOOL,29,0,0%,29,0,0%
Hispanic,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,9,s,s,9,s,s
Hispanic,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,25,0,0%,25,0,0%
Hispanic,07X381,BRONX HAVEN HIGH SCHOOL   ,8,s,s,8,s,s
Hispanic,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,52,0,0%,52,0,0%
Hispanic,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,41,16,39%,41,16,39%
Hispanic,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,102,16,15.7%,102,16,15.7%
Hispanic,07X527,BRONX LEADERSHIP ACADEMY II HS,58,4,6.9%,58,4,6.9%
Hispanic,07X547,NEW EXPLORERS HIGH SCHOOL,51,1,2%,51,1,2%
Hispanic,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,61,2,3.3%,61,3,4.9%
Hispanic,07X551,BRONX ACADEMY OF LETTERS,51,3,5.9%,51,3,5.9%
Hispanic,07X600,ALFRED E. SMITH CAREER AND TECHNICAL,182,2,1.1%,182,2,1.1%
Hispanic,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,245,7,2.9%,245,7,2.9%
Hispanic,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,92,15,16.3%,92,16,17.399999999999999%
Hispanic,08X282,WOMEN'S ACADEMY OF EXCELLENCE,23,4,17.399999999999999%,23,4,17.399999999999999%
Hispanic,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,72,5,6.9%,72,5,6.9%
Hispanic,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,82,0,0%,82,0,0%
Hispanic,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,70,3,4.3%,70,3,4.3%
Hispanic,08X312,MILLENNIUM ART ACADEMY,67,2,3%,67,2,3%
Hispanic,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,52,9,17.3%,52,9,17.3%
Hispanic,08X377,BRONX COMMUNITY HIGH SCHOOL,49,0,0%,49,0,0%
Hispanic,08X405,HERBERT H. LEHMAN HIGH SCHOOL,647,99,15.3%,647,109,16.8%
Hispanic,08X450,ADLAI E. STEVENSON HIGH SCHOOL,3,s,s,3,s,s
Hispanic,08X452,BRONX GUILD,35,1,2.9%,35,1,2.9%
Hispanic,08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,73,0,0%,73,0,0%
Hispanic,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,59,0,0%,59,0,0%
Hispanic,08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,81,0,0%,81,0,0%
Hispanic,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,254,16,6.3%,254,16,6.3%
Hispanic,08X686,NEW SCHOOL FOR ARTS AND SCIENCES,.,.,.,.,.,.
Hispanic,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,60,1,1.7%,60,1,1.7%
