OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
Brooklyn College Women's Center,Y,N,N,N,N,7189515477,7189515777,http://depthome.brooklyn.cuny.edu/womens/center/index.htm,N,"The Brooklyn College Womenâ€™s Center is the oldest college womenâ€™s center in the U.S. By expanding the conventional direct services approach of traditional womenâ€™s centers which focuses on solving immediate crisis through referrals and/or counseling, the Brooklyn College Womenâ€™s Center is committed to adopting a wide-range of multi-dimensional needs-driven program activities that address the emotional, intellectual, physical and financial well-being of the whole person.  Our challenge is to create, promote, and organize programs that  raise awareness of womenâ€™s issues and in return empower participants to live a life that will reduce victimization, encourage self-sufficiency and independence, and model the skills to help women organize and sustain an environment of self-awareness where they are better able to maintain a healthy life style and make choices that will positively impact their own futures.",N,,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Bushwick Community Action Association, Inc.",Y,N,N,N,N,,7185740130,,Y,,N,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Bushwick Geographic Targeting Task Force,Y,N,N,N,N,,7185745100,,Y,,N,,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Cabrini Center for Nursing and Rehabilitation,N,N,Y,N,N,,2123586385,http://www.cabrini-eldercare.org/contact.htm,N,"The Cabrini Eldercare Consortium is dedicated to helping people through programs and services which promote independence, dignity, and well being. Compassionate, high quality, and culturally-appropriate services can be provided either in one of Cabrini's Homes or in yours.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Cammy Lee Leukemia Foundation,N,N,Y,N,N,2122902768,2122902757,http://www.cllf.org/,N,"The Cammy Lee Leukemia Foundation Inc. (CLLF) is a non profit health service organization dedicated to raising awareness and concerns to the Asian and Pacific Islander and minority communities about the thousands of patients that suffer from fatal blood diseases such as leukemia, aplastic anemia, and non-hodgkinâ€™s lymphoma. Many of them will unfortunately need a marrow or stem cell transplant for a lifeâ€“saving cure.",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Carroll Gardens Neighborhood Women,Y,N,N,N,N,7186243475,7186243475,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Casita Maria, Inc.",N,Y,N,N,N,,7185892230,http://www.casita.us/,N,"Casita Maria's mission is to create a gateway of opportunity through after school education in the Arts, Literacy and Job Readiness while addressing critical needs for youth, families and seniors in predominantly Hispanic communities in New York City and beyond.",N,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Catholic Charities Community Service, Archdiocese of N Y",N,N,Y,N,N,,2123711000,,N,"Catholic Charities helps solve the problems of New Yorkers in need - non-Catholics and Catholics alike. The neglected child, the homeless family, and the hungry senior are among those for whom we provide help and create hope. We rebuild lives and touch almost every human need promptly, locally, day in and day out, always with compassion and dignity. We help your neighbors as you would like to be helped if your family were in need.",N,,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Catholic Charities Neighborhood Services, Inc.",Y,N,N,N,N,,7187226023,,,,,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Center for Alternative Sentencing and Employment Services,N,N,Y,N,N,,2125536349,,,,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Center for Comprehensive Care,N,N,Y,N,N,2125236023,2125236050,http://www.centerforcare.org/about.html,N,The CCC provides comprehensive health and mental health services to individuals living with HIV/AIDS.,N,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Center for Constitutional Rights,N,N,Y,N,N,2126146499,2126146464,http://www.ccr-ny.org/v2/home.asp,N,"Founded in 1966 as a non-profit legal and educational organization dedicated to advancing and protecting the rights of guaranteed by the U.S. Constitution and the Universal Declaration of Human Rights. Through legal action, supports women's autonomy in their reproductive choices, personal relationships and economic lives. Recent caseload has focused on reproductive rights and violence against women, issues of poor women and women of color, health care, violence against lesbians and gays, and rape as a war crime.",N,,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Center for Employment Opportunities,N,N,Y,N,N,,2124224430,,N,"The Center for Employment Opportunities (CEO) is dedicated to providing immediate, effective and comprehensive employment services to men and women with recent criminal convictions in New York City. Our highly structured and tightly supervised programs help participants regain the skills and confidence needed for a successful transition to a stable, productive life.",N,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Central Astoria Local Development Coalition,N,N,N,Y,N,,7187287820,http://www.centralastoria.org,N,"The mission of the Central Astoria Local Development Coalition (CALDC) is to combat neighborhood deterioration in Astoria by assisting and advocating for Astoria business organizations, Astoria tenants, and owners of residential buildings in Astoria.",N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Central Brooklyn Economic Development Corporation,Y,N,N,N,N,,7184984513,,,,,,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Chabad Lubavitch of West Brighton,Y,N,N,N,N,,7189469833,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Chai Lifeline,N,N,Y,N,N,,8772424543,http://www.chailifeline.org,,,,,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Chambers Memorial for Social Change,N,N,Y,N,N,,2122896606,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
Child Care Action Campaign,N,N,Y,N,N,2122686515,2122390138,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Child Development Center of the Mosholu Montefiore Community Center,N,Y,N,N,N,,7188824000,,N,,N,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Childrens Art Carnival,N,N,Y,N,N,,2122344093,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Children's Safety Project,N,N,Y,N,N,2129241091,2122424140,http://www.greenwichhouse.org/safety.htm,N,"Children's Safety Project provides treatment for children, adolescents, and young adults ages 3-21 who have experienced or witnessed physical or sexual abuse, dating violence, or domestic violence as well as any other violent crimes.",N,,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
Children's Scholarship Fund,N,N,Y,N,N,,2125157100,http://www.scholarshipfund.org,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Citizens' Committee for Children of New York, Inc.",N,N,Y,N,N,,2126731800,http://www.cccnewyork.org,N,"Since 1944, Citizens' Committee for Children of New York, Inc. (CCC) has convened, informed and mobilized New Yorkers to make the city a better place for children. CCC's approach to child advocacy is fact-based and combines the best features of public policy advocacy with a tradition of citizen activism. Casting light on the issues, engaging allies, fueling civic discourse, identifying improvements and envisioning alternatives has helped CCC make children a priority in New York City.",N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Chinese Staff and Workers Association,N,N,Y,N,N,2123741506,2126197979,http://www.cswa.org,N,"Our work prioritizes connecting workersâ€™ individual struggles for daily survival into a collective force to change the root causes of these problems in all aspects of workersâ€™ lives. In response to the super-exploitation that many workers face on a daily basis, and to the multiple barriers of race, gender, age, and immigration status that often compound exploitation, we emphasize developing leadership among working people in NYCâ€™s Chinatowns and to bridge the divides within the Chinese community and beyond; we believe working people, as the creators of society will be the agent for change. Based on a workersâ€™ center model, we tackle â€œbread and butterâ€ issues, some as well as land-use and displacement, childcare, health, youth development, immigration, and 9/11 disaster relief assistance. CSWA sees itself as engaging in and leading a new labor movement to address new socio-economic realities that traditional labor organizing models are unable to address- widespread sweatshop conditions intensified by the U.S. modern day slave law employersâ€™ sanctions. From workplace to community struggles, we continue to grow into our 30th year to organize working people to fight for the control of our time, our space, and our lives.",N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"2R New York
",
City University of New York,N,N,N,Y,N,,7183404300,http://www.law.cuny.edu/clinics.html,,School of Law at Queens College. Legal Services Clinic,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Coalition for Hispanic Family Services,Y,N,N,N,N,,7184976090,,N,"Coalition for Hispanic Family Services is a community-based comprehensive family service agency, serving North Brooklyn and adjacent communities.",N,,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Coalition for the Homeless,N,N,Y,N,N,,2127762000,http://www.coalitionforthehomeless.org/,N,"Coalition for the Homeless is the nation's oldest advocacy and direct service organization helping homeless men, women, and children. We are dedicated to the principle that decent shelter, sufficient food, affordable housing, and the chance to work for a living wage are fundamental rights in a civilized society. Since our inception in 1981, the Coalition has worked through litigation, public education, and direct services to ensure that these goals are realized.",N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Coalition of Labor Union Women,N,N,Y,N,N,7185953827,7185953843,,N,"The Coalition of Labor Union Women is America's only national organization for union women. Formed in 1974, CLUW is a nonpartisan organization within the union movement.",N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Coalition for Women Prisoners,N,N,Y,N,N,2124732807,2122545700,http://www.correctionalassociation.org/WIPP/cwp.htm,N,"The Coalition for Women Prisoners, coordinated by the Women in Prison Project of the Correctional Association of New York, is a statewide alliance of individuals and organizations dedicated to making the criminal justice system more responsive to the needs and rights of women and their families.",N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Committee on the Status of Women in the Profession--Modern Language Association,N,N,Y,N,N,,6565765000,http://www.mla.org,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Common Cause New York,N,N,Y,N,N,2128071809,2126916421,http://www.commoncause.org/states/newyork,N,"Common Cause is a nonpartisan, nonprofit advocacy organization founded in 1970 by John Gardner as a vehicle for citizens to make their voices heard in the political process and to hold their elected leaders accountable to the public interest.  Now with nearly 400,000 members and supporters and 36 state organizations, Common Cause remains committed to honest, open and accountable government, as well as encouraging citizen participation in democracy.",N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Community Counseling & Mediation Service, Inc.",Y,N,N,N,N,,7188020666,http://www.ccmnyc.org,N,"Founded in 1982, Community Counseling & Mediation (CCM) is an innovative, community-based social service organization providing a wide range of social support, counseling, health, mental health, education and supportive housing services to 7500 at-risk children, youth and family members in some of the poorest minority populated areas of Brooklyn.",N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Community Environmental Center,N,N,N,Y,N,,7187841444,http://www.cecenter.org,,The Community Environmental Center (CEC) was founded in 1994 to address the housing concerns of low and middle-income communities.  Since then we have grown into the largest non-profit energy conservation organization in the state and a major provider of ,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Community Healthcare Network: Teen PACT Program,Y,N,N,N,N,,7183877341,http://chnnyc.org/services/pact/,,"Our youth development program, Teens P.A.C.T. (Positive Actions and Choices for Teens), provides confidential health services and a weekly Teen Lounge. The program's guiding philosophy is: Help youth become productive adults capable of making life-affirmi",,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Community League of the Heights, Inc",N,N,Y,N,N,,2127954779,,N,"Since 1952, the Community League of the Heights â€“ CLOTH has been dedicated to the improvement of the quality of life for residents of the Southern Washington Heights area. Our mission encompasses advocacy, organizing and providing of services related to decent affordable housing, education, health, youth services and neighborhood improvement.",N,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Community Mediation Services, Inc.",N,N,N,Y,N,,7185236868,,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Community Impact/Columbia University,N,N,Y,N,N,,2128542617,,N,"Community Impact is 501(c)3 nonprofit organization located at Columbia University. Community Impact (CI) serves disadvantaged people in the Harlem, Washington Heights, and Morningside Heights communities. Community Impact strives to provide high quality programs, advance the public good, and foster meaningful volunteer opportunities for students, faculty, and staff of Columbia University. CI provides food, clothing, shelter, education, job training, and companionship for residents in its surrounding communities. CI consists of a dedicated corps of more than 950 Columbia University student volunteers participating in 25 community service programs, which serve more than 8,000 people each year. Community Impact has partnerships with more than 100 community organizations and agencies who do service work in the Harlem, Washington Heights, and Morningside Heights communities, including service organizations, social service offices, religious institutions, senior centers and schools. Many of these organizations refer their clients to Community Impact's programs and work collaboratively to positively influence residents' lives.",N,,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
